Frame number,Baseline,Interval Index,ROI 1,ROI 2,ROI 3,ROI 4,ROI 5,ROI 6,Shift X,Shift Y,Interval Time (s)
26,1,0,10.76,11.83,-,-,-,-,0,0,0
27,0,1,10.76,10.79,-,-,-,-,0,0,0.08333
28,0,2,13.3,10.63,-,-,-,-,0,0,0.1667
29,0,3,18.64,9.677,-,-,-,-,0,0,0.25
30,0,4,20.2,11.41,-,-,-,-,0,0,0.3333
31,0,5,22.39,10.66,-,-,-,-,0,0,0.4167
32,0,6,25.28,9.884,-,-,-,-,0,0,0.5
33,0,7,25.68,10.51,-,-,-,-,0,0,0.5833
34,0,8,26.7,9.368,-,-,-,-,0,0,0.6667
35,0,9,24.83,9.434,-,-,-,-,0,0,0.75
36,0,10,24.84,10.65,-,-,-,-,0,0,0.8333
37,0,11,26.43,10.35,-,-,-,-,0,0,0.9167
38,0,12,27.13,10.5,-,-,-,-,0,0,1
39,0,13,28.37,9.602,-,-,-,-,0,0,1.083
40,0,14,27.88,10.84,-,-,-,-,0,0,1.167
41,0,15,28.25,10.95,-,-,-,-,0,0,1.25
42,0,16,31.17,9.869,-,-,-,-,0,0,1.333
43,0,17,29.7,9.901,-,-,-,-,0,0,1.417
44,0,18,31.68,9.901,-,-,-,-,0,0,1.5
45,0,19,31.14,9.868,-,-,-,-,0,0,1.583
46,0,20,29.85,11.23,-,-,-,-,0,0,1.667
56,0,21,33.99,10.28,-,-,-,-,0,0,2.5
66,0,22,42.05,10.75,-,-,-,-,0,0,3.333
76,0,23,46.89,10.41,-,-,-,-,0,0,4.167
86,0,24,50.08,10.56,-,-,-,-,0,0,5
96,0,25,50.44,10.3,-,-,-,-,0,0,5.833
106,0,26,49.86,10.44,-,-,-,-,0,0,6.667